Augmentation,RunID,F1-Score,Recall,Precision,Accuracy,person_F1 score,person_Precision,person_Recall,bicycle_F1 score,bicycle_Precision,bicycle_Recall,car_F1 score,car_Precision,car_Recall,motorcycle_F1 score,motorcycle_Precision,motorcycle_Recall,siren_F1 score,siren_Precision,siren_Recall,bus_F1 score,bus_Precision,bus_Recall,truck_F1 score,truck_Precision,truck_Recall
_BackgroundNoise_TimeStretch_P,04,0.5632439813354666,0.6789612536765521,0.5123081764389392,0.8098148794970311,0.9294598264432152,0.9257231225992987,0.9335288506878936,0.5357219378645399,0.4063609063609064,0.790905315614618,0.9106949418870045,0.9181334243227091,0.9037709062621548,0.4252249286811499,0.43195202450546843,0.4215144439119396,0.654753055216913,0.5585106382978724,0.8,0.3914385209931769,0.2653225806451613,0.7462962962962962,0.09541465826226671,0.08015453834115806,0.15671296296296294
_BackgroundNoise_P,04,0.5683192901470873,0.7222346005858198,0.5019486736153689,0.8094655955291652,0.9320494677141891,0.9275279996617938,0.9367356974586929,0.5575227531285551,0.423996723996724,0.8222222222222222,0.9121893983970194,0.9183051444679351,0.9063286574539388,0.39386100386100387,0.3156966585413206,0.5444993617230205,0.6491036821705427,0.549159231297186,0.8139140271493213,0.44506297795771477,0.3024193548387097,0.844038538739462,0.0884457478005865,0.07653560250391236,0.18790369935408102
_BackgroundNoise_ClippingDistortion_TimeStretch_P,04,0.5696488415076089,0.7020856464519574,0.5125553010610755,0.8141809290953546,0.9283381700099503,0.9275584428176439,0.9293778606269784,0.5479892558544244,0.4036582036582037,0.8550751416605076,0.9120462518063123,0.9208466026172826,0.9038621460862175,0.4105763517528223,0.3770196518325172,0.4626688184829695,0.6660894660894661,0.577213452299245,0.8028028028028028,0.4011476264997391,0.2693548387096774,0.7912885662431942,0.12135476854054789,0.11223591549295775,0.16952418926103135
_BackgroundNoise_ClippingDistortion_P,04,0.5665809375638118,0.7140277924448097,0.5017894195938895,0.8063220398183724,0.928981827129985,0.9231246556476994,0.9349461703492932,0.5549167372929886,0.42904722904722903,0.7927340475081509,0.910854279819797,0.9217654169008305,0.9003985744993457,0.41796077845801605,0.34105420972021483,0.5598889949868704,0.6553293413173652,0.5559368565545642,0.8046142754145638,0.4154406944116644,0.29274193548387095,0.7179286608260325,0.08258290451686678,0.048855633802816906,0.2876838235294118
_BackgroundNoise_AirAbsorption_TimeStretch_P,04,0.5756072497117841,0.6975096062590966,0.5338127888700182,0.8108627314006287,0.9320473466857524,0.9263370978688872,0.9379320034478426,0.5209373340414233,0.3735326235326235,0.8617886178861789,0.9154582748627622,0.9229563072586329,0.9083918833666054,0.41405896180637924,0.5316942425092219,0.3923175378021193,0.6466277481058254,0.5398078242964996,0.8174603174603174,0.46464013874168997,0.34112903225806457,0.747820823244552,0.135480943738657,0.10123239436619719,0.2168560606060606
_BackgroundNoise_AirAbsorption_P,04,0.5807030947104026,0.6918651016709387,0.5218680140886268,0.8136570031435557,0.9276680765221303,0.9224315281729005,0.9329788880650349,0.5341579210394802,0.394976794976795,0.8252508361204014,0.9112859228634287,0.921012301406767,0.9019367409707875,0.43858507087863063,0.3970759540091033,0.4909290271132376,0.6734583688547884,0.5854495538778313,0.7966867469879518,0.47241589386042104,0.3588709677419355,0.6912504839334108,0.10735040895393885,0.07325899843505478,0.20402298850574713
_BackgroundNoise_AirAbsorption_ClippingDistortion_TimeStretch_P,04,0.5720701666654124,0.7317640320985331,0.5017783925921426,0.8091163115612994,0.9302490486413268,0.921054406170058,0.9396540788046925,0.5356349739193307,0.3893939393939394,0.8578710446180325,0.9122585776206433,0.9250359051212745,0.8999442076965236,0.41218432898451207,0.3463716375088983,0.5091435077609443,0.6454081632653061,0.5451269732326699,0.8018018018018018,0.42782534246575343,0.2911290322580645,0.8246527777777778,0.14093073176101495,0.0943368544600939,0.2892808062299588
_BackgroundNoise_AirAbsorption_ClippingDistortion_P,04,0.5737874471797411,0.6917684159850721,0.5167317018790256,0.8133077191756898,0.9285023547678781,0.9286854139832652,0.9283347808847903,0.5547457627118644,0.4315724815724816,0.7788770053475935,0.9119530834867826,0.9165589513028429,0.9075214441359307,0.4098479315561584,0.37991565459369675,0.4901708567677377,0.6409876543209876,0.5346602608098834,0.8034055727554179,0.4796061193919898,0.3491935483870968,0.7903726708074534,0.0908692240225269,0.07653560250391236,0.14369658119658119
_AirAbsorption_TimeStretch_P,04,0.5727448558463609,0.6690101034552781,0.5183170324089477,0.8119105833042264,0.9266097928935473,0.9329299366276886,0.9205043355700585,0.5106537530266344,0.3832787332787333,0.7651112316874661,0.9082620854193898,0.9105973630922115,0.9060402679623953,0.42238079769504544,0.3696313393877947,0.5023996380873704,0.6617796357121528,0.5638297872340425,0.8128154289834174,0.45149344341913555,0.35967741935483866,0.6190719392966584,0.1280344827586207,0.10827464788732394,0.15712788259958071
_AirAbsorption_P,04,0.5731586300726901,0.7152050925011917,0.5194154256487482,0.8105134474327629,0.9315869778493623,0.9324078077849008,0.9308125015598214,0.5367594195180403,0.38509418509418514,0.8889541715628673,0.9126744021622788,0.9138698584312361,0.9115873125774117,0.42352734306312645,0.38933710119291587,0.47366808109382363,0.6765583554376657,0.5973747426218257,0.7857142857142857,0.41009190220218483,0.27741935483870966,0.8102022058823529,0.12091201027617213,0.14040492957746478,0.20549708911777878
